doc_id,title,source_org,source_url,status
INS-0001,Public Liability Insurance,SBI General Insurance Company Limited,https://content.sbigeneral.in/uploads/554f03531e7d4b49ab5e35ba7a2286fc.pdf,new
INS-0002,Health Insurance Policy - Retail,SBI General Insurance Company Limited,https://content.sbigeneral.in/uploads/a370272f732749999e7c19e82e38ad7c.pdf,new
INS-0003,SBI General Simple Home Insurance Policy,SBI General Insurance Company Limited,https://content.sbigeneral.in/uploads/0f323bc7852e4c00b1f6b124b6fd29eb.pdf,new
INS-0004,National Bharat Griha Raksha Policy,National Insurance Company Limited,https://nationalinsurance.nic.co.in/sites/default/files/2026-04/Griha%20Raksha_KFD.pdf,new
INS-0005,My Home Insurance All Risk Policy,Bajaj Allianz General Insurance Company Limited,https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/home-insurance/bajaj-allianz-my-home-insurance-all-risk-policy/bajaj-allianz-my-home-insurance-all-risk-policy.pdf,new
INS-0006,National Mediclaim Policy,National Insurance Company Limited,https://nationalinsurance.nic.co.in/sites/default/files/National%20Mediclaim%20Policy.pdf,new
INS-0007,Star Comprehensive Policy,Star Health Insurance,https://old.irdai.gov.in/ADMINCMS/cms/Uploadedfiles/Star15/Star%20Comprehensive%20Insurance%20Policy.pdf,new
INS-0008,National Mediclaim Policy - Brochure,National Insurance Company Limited,https://nationalinsurance.nic.co.in/sites/default/files/7.%20Brochure%20-NMP.pdf,new
INS-0009,Package Policy Wordings for Private Car,National Insurance Company Limited,https://nationalinsurance.nic.co.in/sites/default/files/Terms%20and%20Conditions%20for%20Private%20Car_2.pdf,new
INS-0010,SBI General Private Car Insurance Policy - Package,SBI General Insurance Company Limited,https://content.sbigeneral.in/uploads/03b23f6e14ba41d9bb4a810b4c3d1ea4.pdf,new
INS-0011,LIC New Jeevan Amar,Life Insurance Corporation of India,https://licindia.in/documents/20121/290780/Policy-Document_LIC-s_New-Jeevan_Amar.pdf/5e1e5ce2-d505-feb9-a7f1-06a3f113c534?t=1675155787664,new
INS-0012,Max Life Group Credit Life Secure Plan,Max Life Insurance Company Limited,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/corporate/withdrawn-plans-and-riders/max-life-group-credit-life-secure-policy-document-v1.pdf,new
INS-0013,Standard Fire and Special Perils Policy (Material Damage),SBI General Insurance Company Limited,https://content.sbigeneral.in/uploads/a51a54e67bfc4a2287ce70f035ab147d.pdf,new
INS-0014,Standard Fire and Special Perils Policy - Customer Information Sheet,The New India Assurance Company Limited,https://www.newindia.co.in/assets/docs/know-more/fire/fire-floater-policy/Cumstomer%20Information%20Sheet.pdf,new
INS-0015,Standard Fire and Special Perils Policy - CIS,National Insurance Company Limited,https://nationalinsurance.nic.co.in/sites/default/files/2025-02/CIS%20SFSP.pdf,new
INS-0016,THE INSURANCE ACT 1938,Government of India,https://www.indiacode.nic.in/bitstream/123456789/2304/1/a1938-04.pdf,new
INS-0017,Insurance Handbook,Insurance Information Institute,https://www.iii.org/sites/default/files/docs/pdf/Insurance_Handbook_20103.pdf,new
INS-0018,Group Health Insurance Policy,Universal Sompo General Insurance,https://www.universalsompo.com/assets/file/group-health-insurance-policy/policy-wording.pdf,new
INS-0019,Universal Health Insurance Policy (APL),The New India Assurance Co. Ltd,https://www.newindia.co.in/assets/docs/know-more/health/universal-health-insurance/Policy%20Clause%20Universal%20Health%20Insurance%20Policy.pdf,new
INS-0020,The Life Insurance Corporation Act 1956,Government of India,https://www.indiacode.nic.in/bitstream/123456789/1632/1/aA1956-31.pdf,new
INS-0021,Life Insurance Booklet,SBI Life Insurance Company Limited,https://www.sbilife.co.in/SmartCare/assets/policy-holder-guides/Life%20insurance%20booklet_5x8_Web_Compressed_25102019.pdf,new
